"Threshold","MaxCluster","Singletons"
1e-04,-Inf,547
2e-04,1,544
3e-04,1,544
4e-04,4,538
5e-04,11,521
6e-04,21,499
7e-04,28,477
8e-04,33,464
9e-04,40,445
0.001,48,429
0.0011,63,393
0.0012,83,348
0.0013,87,313
0.0014,84,298
0.0015,85,267
0.0016,88,244
0.0017,98,208
0.0018,94,185
0.0019,92,156
0.002,96,122
0.0021,88,103
0.0022,81,88
0.0023,77,74
0.0024,67,64
0.0025,65,46
0.0026,58,38
0.0027,54,33
0.0028,47,30
0.0029,44,26
0.003,42,23
0.0031,39,21
0.0032,38,21
0.0033,34,21
0.0034,34,17
0.0035,34,17
0.0036,34,12
0.0037,31,10
0.0038,31,9
0.0039,29,9
0.004,27,9
0.0041,27,9
0.0042,27,9
0.0043,27,9
0.0044,27,9
0.0045,27,9
0.0046,27,9
0.0047,27,9
0.0048,27,9
0.0049,27,9
0.005,27,9
0.0051,27,9
0.0052,27,9
0.0053,27,9
0.0054,27,9
0.0055,27,9
0.0056,27,9
0.0057,27,9
0.0058,27,9
0.0059,27,9
0.006,27,9
0.0061,27,9
0.0062,27,9
0.0063,27,9
0.0064,27,9
0.0065,27,9
0.0066,27,9
0.0067,27,9
0.0068,27,9
0.0069,27,9
0.007,27,9
0.0071,27,9
0.0072,27,9
0.0073,27,9
0.0074,27,9
0.0075,27,9
0.0076,27,9
0.0077,27,9
0.0078,27,9
0.0079,27,9
0.008,27,9
0.0081,27,9
0.0082,27,9
0.0083,27,9
0.0084,27,9
0.0085,27,9
0.0086,27,9
0.0087,27,9
0.0088,27,9
0.0089,27,9
0.009,27,9
0.0091,27,9
0.0092,27,9
0.0093,27,9
0.0094,27,9
0.0095,27,9
0.0096,27,9
0.0097,27,9
0.0098,27,9
0.0099,27,9
0.01,27,9
0.0101,27,9
0.0102,27,9
0.0103,27,9
0.0104,27,9
0.0105,27,9
0.0106,27,9
0.0107,27,9
0.0108,27,9
0.0109,27,9
0.011,27,9
0.0111,27,9
0.0112,27,9
0.0113,27,9
0.0114,27,9
0.0115,27,9
0.0116,27,9
0.0117,27,9
0.0118,27,9
0.0119,27,9
0.012,27,9
0.0121,27,9
0.0122,27,9
0.0123,27,9
0.0124,27,9
0.0125,27,9
0.0126,27,9
0.0127,27,9
0.0128,27,9
0.0129,27,9
0.013,27,9
0.0131,27,9
0.0132,27,9
0.0133,27,9
0.0134,27,9
0.0135,27,9
0.0136,27,9
0.0137,27,9
0.0138,27,9
0.0139,27,9
0.014,27,9
0.0141,27,9
0.0142,27,9
0.0143,27,9
0.0144,27,9
0.0145,27,9
0.0146,27,9
0.0147,27,9
0.0148,27,9
0.0149,27,9
0.015,27,9
0.0151,27,9
0.0152,27,9
0.0153,27,9
0.0154,27,9
0.0155,27,9
0.0156,27,9
0.0157,27,9
0.0158,27,9
0.0159,27,9
0.016,27,9
0.0161,27,9
0.0162,27,9
0.0163,27,9
0.0164,27,9
0.0165,27,9
0.0166,27,9
0.0167,27,9
0.0168,27,9
0.0169,27,9
0.017,27,9
0.0171,27,9
